/home/user/anaconda3/lib/python3.12/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
Using cuda device
Logging to logs/w3_ours_v3.1/seed1/tb_logs/PPO_1
---------------------------------
| energy/            |          |
|    W_pos_J              | 0.0285      |
| reward/                 |             |
|    r_energy             | -0.0234     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 22.7        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 303         |
|    time_elapsed         | 27280       |
|    total_timesteps      | 1241088     |
| train/                  |             |
|    approx_kl            | 0.068037316 |
|    clip_fraction        | 0.501       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.115       |
|    explained_variance   | 0.953       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00138    |
|    n_updates            | 3020        |
|    policy_gradient_loss | 0.0083      |
|    std                  | 0.301       |
|    value_loss           | 0.0311      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0301      |
|    E_fric_J             | 0.00755     |
|    E_norm_J             | 0.0187      |
|    W_neg_J              | 0.0389      |
|    W_pos_J              | 0.069       |
| reward/                 |             |
|    r_energy             | -0.0815     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 22.7        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 304         |
|    time_elapsed         | 27367       |
|    total_timesteps      | 1245184     |
| train/                  |             |
|    approx_kl            | 0.060657244 |
|    clip_fraction        | 0.51        |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.105       |
|    explained_variance   | 0.949       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0117     |
|    n_updates            | 3030        |
|    policy_gradient_loss | 0.0103      |
|    std                  | 0.302       |
|    value_loss           | 0.0309      |
-----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.00789    |
|    E_fric_J             | 0.00662    |
|    E_norm_J             | 0.00118    |
|    W_neg_J              | 0.0106     |
|    W_pos_J              | 0.0285     |
| reward/                 |            |
|    r_energy             | -0.0233    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 22.8       |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 305        |
|    time_elapsed         | 27455      |
|    total_timesteps      | 1249280    |
| train/                  |            |
|    approx_kl            | 0.08499588 |
|    clip_fraction        | 0.478      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.11       |
|    explained_variance   | 0.954      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00698    |
|    n_updates            | 3040       |
|    policy_gradient_loss | 0.0084     |
|    std                  | 0.302      |
|    value_loss           | 0.0298     |
----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0311      |
|    E_fric_J             | 0.00761     |
|    E_norm_J             | 0.0195      |
|    W_neg_J              | 0.0423      |
|    W_pos_J              | 0.0699      |
| reward/                 |             |
|    r_energy             | -0.0852     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 22.7        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 306         |
|    time_elapsed         | 27543       |
|    total_timesteps      | 1253376     |
| train/                  |             |
|    approx_kl            | 0.083596714 |
|    clip_fraction        | 0.491       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.0954      |
|    explained_variance   | 0.957       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00885     |
|    n_updates            | 3050        |
|    policy_gradient_loss | 0.0134      |
|    std                  | 0.304       |
|    value_loss           | 0.0239      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00768     |
|    E_fric_J             | 0.00668     |
|    E_norm_J             | 0.00125     |
|    W_neg_J              | 0.0107      |
|    W_pos_J              | 0.0281      |
| reward/                 |             |
|    r_energy             | -0.0233     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 22.6        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 307         |
|    time_elapsed         | 27631       |
|    total_timesteps      | 1257472     |
| train/                  |             |
|    approx_kl            | 0.061367955 |
|    clip_fraction        | 0.501       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.099       |
|    explained_variance   | 0.935       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00372     |
|    n_updates            | 3060        |
|    policy_gradient_loss | 0.0118      |
|    std                  | 0.304       |
|    value_loss           | 0.045       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0294      |
|    E_fric_J             | 0.00782     |
|    E_norm_J             | 0.0193      |
|    W_neg_J              | 0.047       |
|    W_pos_J              | 0.0603      |
| reward/                 |             |
|    r_energy             | -0.0842     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 22.6        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 308         |
|    time_elapsed         | 27719       |
|    total_timesteps      | 1261568     |
| train/                  |             |
|    approx_kl            | 0.061023593 |
|    clip_fraction        | 0.477       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.0801      |
|    explained_variance   | 0.954       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0103     |
|    n_updates            | 3070        |
|    policy_gradient_loss | 0.0106      |
|    std                  | 0.305       |
|    value_loss           | 0.0272      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00769     |
|    E_fric_J             | 0.00667     |
|    E_norm_J             | 0.0013      |
|    W_neg_J              | 0.0108      |
|    W_pos_J              | 0.028       |
| reward/                 |             |
|    r_energy             | -0.0234     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 22.8        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 309         |
|    time_elapsed         | 27809       |
|    total_timesteps      | 1265664     |
| train/                  |             |
|    approx_kl            | 0.060320362 |
|    clip_fraction        | 0.482       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.0639      |
|    explained_variance   | 0.946       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0412      |
|    n_updates            | 3080        |
|    policy_gradient_loss | 0.00945     |
|    std                  | 0.305       |
|    value_loss           | 0.034       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0294      |
|    E_fric_J             | 0.00728     |
|    E_norm_J             | 0.0182      |
|    W_neg_J              | 0.0392      |
|    W_pos_J              | 0.0677      |
| reward/                 |             |
|    r_energy             | -0.0804     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 22.9        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 310         |
|    time_elapsed         | 27898       |
|    total_timesteps      | 1269760     |
| train/                  |             |
|    approx_kl            | 0.070724666 |
|    clip_fraction        | 0.489       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.0572      |
|    explained_variance   | 0.944       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0553      |
|    n_updates            | 3090        |
|    policy_gradient_loss | 0.0123      |
|    std                  | 0.306       |
|    value_loss           | 0.0303      |
-----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.00773    |
|    E_fric_J             | 0.00676    |
|    E_norm_J             | 0.00123    |
|    W_neg_J              | 0.0106     |
|    W_pos_J              | 0.0279     |
| reward/                 |            |
|    r_energy             | -0.0232    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 22.8       |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 311        |
|    time_elapsed         | 27985      |
|    total_timesteps      | 1273856    |
| train/                  |            |
|    approx_kl            | 0.08028203 |
|    clip_fraction        | 0.465      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.0544     |
|    explained_variance   | 0.948      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0404     |
|    n_updates            | 3100       |
|    policy_gradient_loss | 0.00691    |
|    std                  | 0.305      |
|    value_loss           | 0.0317     |
----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0294      |
|    E_fric_J             | 0.0076      |
|    E_norm_J             | 0.0195      |
|    W_neg_J              | 0.0493      |
|    W_pos_J              | 0.0607      |
| reward/                 |             |
|    r_energy             | -0.0858     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 22.8        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 312         |
|    time_elapsed         | 28074       |
|    total_timesteps      | 1277952     |
| train/                  |             |
|    approx_kl            | 0.066627756 |
|    clip_fraction        | 0.499       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.0733      |
|    explained_variance   | 0.936       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0294      |
|    n_updates            | 3110        |
|    policy_gradient_loss | 0.0142      |
|    std                  | 0.304       |
|    value_loss           | 0.0392      |
-----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.00776    |
|    E_fric_J             | 0.00667    |
|    E_norm_J             | 0.00125    |
|    W_neg_J              | 0.0109     |
|    W_pos_J              | 0.0279     |
| reward/                 |            |
|    r_energy             | -0.0234    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 22.9       |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 313        |
|    time_elapsed         | 28162      |
|    total_timesteps      | 1282048    |
| train/                  |            |
|    approx_kl            | 0.07395114 |
|    clip_fraction        | 0.469      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.0501     |
|    explained_variance   | 0.943      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0108     |
|    n_updates            | 3120       |
|    policy_gradient_loss | 0.00434    |
|    std                  | 0.306      |
|    value_loss           | 0.0337     |
----------------------------------------
--------------------------------------
| energy/                 |          |
|    E_damp_J             | 0.0377   |
|    E_fric_J             | 0.00826  |
|    E_norm_J             | 0.0189   |
|    W_neg_J              | 0.0541   |
|    W_pos_J              | 0.076    |
| reward/                 |          |
|    r_energy             | -0.0971  |
| rollout/                |          |
|    ep_len_mean          | 82       |
|    ep_rew_mean          | 22.9     |
| time/                   |          |
|    fps                  | 45       |
|    iterations           | 314      |
|    time_elapsed         | 28252    |
|    total_timesteps      | 1286144  |
| train/                  |          |
|    approx_kl            | 0.074037 |
|    clip_fraction        | 0.5      |
|    clip_range           | 0.2      |
|    entropy_loss         | 0.0304   |
|    explained_variance   | 0.933    |
|    learning_rate        | 0.0003   |
|    loss                 | 0.0089   |
|    n_updates            | 3130     |
|    policy_gradient_loss | 0.011    |
|    std                  | 0.306    |
|    value_loss           | 0.0368   |
--------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.00793    |
|    E_fric_J             | 0.007      |
|    E_norm_J             | 0.00125    |
|    W_neg_J              | 0.01       |
|    W_pos_J              | 0.0306     |
| reward/                 |            |
|    r_energy             | -0.0239    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 22.8       |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 315        |
|    time_elapsed         | 28342      |
|    total_timesteps      | 1290240    |
| train/                  |            |
|    approx_kl            | 0.07677865 |
|    clip_fraction        | 0.488      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.0212     |
|    explained_variance   | 0.947      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0464     |
|    n_updates            | 3140       |
|    policy_gradient_loss | 0.0116     |
|    std                  | 0.307      |
|    value_loss           | 0.0355     |
----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.0339     |
|    E_fric_J             | 0.00806    |
|    E_norm_J             | 0.0191     |
|    W_neg_J              | 0.0541     |
|    W_pos_J              | 0.0677     |
| reward/                 |            |
|    r_energy             | -0.0928    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 22.9       |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 316        |
|    time_elapsed         | 28431      |
|    total_timesteps      | 1294336    |
| train/                  |            |
|    approx_kl            | 0.10078582 |
|    clip_fraction        | 0.495      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.00673    |
|    explained_variance   | 0.939      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.000857   |
|    n_updates            | 3150       |
|    policy_gradient_loss | 0.00731    |
|    std                  | 0.308      |
|    value_loss           | 0.0377     |
----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.00811    |
|    E_fric_J             | 0.00659    |
|    E_norm_J             | 0.00118    |
|    W_neg_J              | 0.0114     |
|    W_pos_J              | 0.0297     |
| reward/                 |            |
|    r_energy             | -0.0243    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 23         |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 317        |
|    time_elapsed         | 28518      |
|    total_timesteps      | 1298432    |
| train/                  |            |
|    approx_kl            | 0.06939771 |
|    clip_fraction        | 0.489      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.000369  |
|    explained_variance   | 0.945      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0181     |
|    n_updates            | 3160       |
|    policy_gradient_loss | 0.0108     |
|    std                  | 0.309      |
|    value_loss           | 0.0303     |
----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0306      |
|    E_fric_J             | 0.00779     |
|    E_norm_J             | 0.0184      |
|    W_neg_J              | 0.0459      |
|    W_pos_J              | 0.067       |
| reward/                 |             |
|    r_energy             | -0.0853     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 22.9        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 318         |
|    time_elapsed         | 28606       |
|    total_timesteps      | 1302528     |
| train/                  |             |
|    approx_kl            | 0.063571185 |
|    clip_fraction        | 0.488       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.00546    |
|    explained_variance   | 0.945       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0206      |
|    n_updates            | 3170        |
|    policy_gradient_loss | 0.00961     |
|    std                  | 0.308       |
|    value_loss           | 0.0329      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00824     |
|    E_fric_J             | 0.00667     |
|    E_norm_J             | 0.00122     |
|    W_neg_J              | 0.011       |
|    W_pos_J              | 0.0311      |
| reward/                 |             |
|    r_energy             | -0.0246     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 23          |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 319         |
|    time_elapsed         | 28693       |
|    total_timesteps      | 1306624     |
| train/                  |             |
|    approx_kl            | 0.061134174 |
|    clip_fraction        | 0.492       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.00351    |
|    explained_variance   | 0.961       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.02        |
|    n_updates            | 3180        |
|    policy_gradient_loss | 0.0115      |
|    std                  | 0.309       |
|    value_loss           | 0.0248      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0337      |
|    E_fric_J             | 0.00796     |
|    E_norm_J             | 0.0187      |
|    W_neg_J              | 0.0491      |
|    W_pos_J              | 0.0661      |
| reward/                 |             |
|    r_energy             | -0.0888     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 23.2        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 320         |
|    time_elapsed         | 28780       |
|    total_timesteps      | 1310720     |
| train/                  |             |
|    approx_kl            | 0.062031865 |
|    clip_fraction        | 0.484       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.00194     |
|    explained_variance   | 0.958       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0102      |
|    n_updates            | 3190        |
|    policy_gradient_loss | 0.0134      |
|    std                  | 0.309       |
|    value_loss           | 0.0223      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00892     |
|    E_fric_J             | 0.00683     |
|    E_norm_J             | 0.00123     |
|    W_neg_J              | 0.0128      |
|    W_pos_J              | 0.0303      |
| reward/                 |             |
|    r_energy             | -0.0259     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 23.1        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 321         |
|    time_elapsed         | 28868       |
|    total_timesteps      | 1314816     |
| train/                  |             |
|    approx_kl            | 0.055567414 |
|    clip_fraction        | 0.483       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.0131      |
|    explained_variance   | 0.96        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00503     |
|    n_updates            | 3200        |
|    policy_gradient_loss | 0.014       |
|    std                  | 0.309       |
|    value_loss           | 0.0245      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0287      |
|    E_fric_J             | 0.00761     |
|    E_norm_J             | 0.0186      |
|    W_neg_J              | 0.0403      |
|    W_pos_J              | 0.0643      |
| reward/                 |             |
|    r_energy             | -0.0802     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 23          |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 322         |
|    time_elapsed         | 28955       |
|    total_timesteps      | 1318912     |
| train/                  |             |
|    approx_kl            | 0.080416955 |
|    clip_fraction        | 0.477       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.00928     |
|    explained_variance   | 0.943       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0141      |
|    n_updates            | 3210        |
|    policy_gradient_loss | 0.00512     |
|    std                  | 0.31        |
|    value_loss           | 0.0324      |
-----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.00854    |
|    E_fric_J             | 0.00662    |
|    E_norm_J             | 0.00124    |
|    W_neg_J              | 0.0122     |
|    W_pos_J              | 0.0299     |
| reward/                 |            |
|    r_energy             | -0.0251    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 23.1       |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 323        |
|    time_elapsed         | 29043      |
|    total_timesteps      | 1323008    |
| train/                  |            |
|    approx_kl            | 0.07630167 |
|    clip_fraction        | 0.489      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.0154    |
|    explained_variance   | 0.943      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0449     |
|    n_updates            | 3220       |
|    policy_gradient_loss | 0.0121     |
|    std                  | 0.31       |
|    value_loss           | 0.0364     |
----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0308      |
|    E_fric_J             | 0.00768     |
|    E_norm_J             | 0.0182      |
|    W_neg_J              | 0.0394      |
|    W_pos_J              | 0.0744      |
| reward/                 |             |
|    r_energy             | -0.0833     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 23.2        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 324         |
|    time_elapsed         | 29131       |
|    total_timesteps      | 1327104     |
| train/                  |             |
|    approx_kl            | 0.063074455 |
|    clip_fraction        | 0.477       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.0154     |
|    explained_variance   | 0.957       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0126      |
|    n_updates            | 3230        |
|    policy_gradient_loss | 0.00335     |
|    std                  | 0.31        |
|    value_loss           | 0.0264      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00867     |
|    E_fric_J             | 0.00686     |
|    E_norm_J             | 0.00125     |
|    W_neg_J              | 0.0117      |
|    W_pos_J              | 0.0335      |
| reward/                 |             |
|    r_energy             | -0.0261     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 23.3        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 325         |
|    time_elapsed         | 29218       |
|    total_timesteps      | 1331200     |
| train/                  |             |
|    approx_kl            | 0.056852173 |
|    clip_fraction        | 0.497       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.0102     |
|    explained_variance   | 0.947       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.013       |
|    n_updates            | 3240        |
|    policy_gradient_loss | 0.00807     |
|    std                  | 0.311       |
|    value_loss           | 0.0311      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0289      |
|    E_fric_J             | 0.00729     |
|    E_norm_J             | 0.0182      |
|    W_neg_J              | 0.0394      |
|    W_pos_J              | 0.0636      |
| reward/                 |             |
|    r_energy             | -0.0791     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 23.4        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 326         |
|    time_elapsed         | 29306       |
|    total_timesteps      | 1335296     |
| train/                  |             |
|    approx_kl            | 0.067887254 |
|    clip_fraction        | 0.493       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.00348    |
|    explained_variance   | 0.951       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0481      |
|    n_updates            | 3250        |
|    policy_gradient_loss | 0.00982     |
|    std                  | 0.31        |
|    value_loss           | 0.0262      |
-----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.00867    |
|    E_fric_J             | 0.00683    |
|    E_norm_J             | 0.00127    |
|    W_neg_J              | 0.0127     |
|    W_pos_J              | 0.0311     |
| reward/                 |            |
|    r_energy             | -0.0259    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 23.4       |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 327        |
|    time_elapsed         | 29393      |
|    total_timesteps      | 1339392    |
| train/                  |            |
|    approx_kl            | 0.06687091 |
|    clip_fraction        | 0.459      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.00362    |
|    explained_variance   | 0.952      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0388     |
|    n_updates            | 3260       |
|    policy_gradient_loss | 0.00367    |
|    std                  | 0.311      |
|    value_loss           | 0.0279     |
----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00868     |
|    E_fric_J             | 0.00704     |
|    E_norm_J             | 0.00128     |
|    W_neg_J              | 0.0114      |
|    W_pos_J              | 0.0321      |
| reward/                 |             |
|    r_energy             | -0.0256     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 23.3        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 328         |
|    time_elapsed         | 29480       |
|    total_timesteps      | 1343488     |
| train/                  |             |
|    approx_kl            | 0.061334364 |
|    clip_fraction        | 0.489       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.00404     |
|    explained_variance   | 0.941       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0203      |
|    n_updates            | 3270        |
|    policy_gradient_loss | 0.00854     |
|    std                  | 0.311       |
|    value_loss           | 0.0375      |
-----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.00918    |
|    E_fric_J             | 0.00717    |
|    E_norm_J             | 0.00127    |
|    W_neg_J              | 0.0127     |
|    W_pos_J              | 0.0338     |
| reward/                 |            |
|    r_energy             | -0.0272    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 23.2       |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 329        |
|    time_elapsed         | 29568      |
|    total_timesteps      | 1347584    |
| train/                  |            |
|    approx_kl            | 0.06984478 |
|    clip_fraction        | 0.495      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.0174     |
|    explained_variance   | 0.944      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0347     |
|    n_updates            | 3280       |
|    policy_gradient_loss | 0.00957    |
|    std                  | 0.31       |
|    value_loss           | 0.0339     |
----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00841     |
|    E_fric_J             | 0.0071      |
|    E_norm_J             | 0.00125     |
|    W_neg_J              | 0.011       |
|    W_pos_J              | 0.0308      |
| reward/                 |             |
|    r_energy             | -0.0249     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 23.3        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 330         |
|    time_elapsed         | 29655       |
|    total_timesteps      | 1351680     |
| train/                  |             |
|    approx_kl            | 0.059807565 |
|    clip_fraction        | 0.485       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.0645      |
|    explained_variance   | 0.946       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00993     |
|    n_updates            | 3290        |
|    policy_gradient_loss | 0.0132      |
|    std                  | 0.309       |
|    value_loss           | 0.0342      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00917     |
|    E_fric_J             | 0.00723     |
|    E_norm_J             | 0.00128     |
|    W_neg_J              | 0.0122      |
|    W_pos_J              | 0.0335      |
| reward/                 |             |
|    r_energy             | -0.0268     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 23.3        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 331         |
|    time_elapsed         | 29743       |
|    total_timesteps      | 1355776     |
| train/                  |             |
|    approx_kl            | 0.050504882 |
|    clip_fraction        | 0.485       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.0815      |
|    explained_variance   | 0.952       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00799     |
|    n_updates            | 3300        |
|    policy_gradient_loss | 0.00887     |
|    std                  | 0.31        |
|    value_loss           | 0.0262      |
-----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.00899    |
|    E_fric_J             | 0.00697    |
|    E_norm_J             | 0.00127    |
|    W_neg_J              | 0.0126     |
|    W_pos_J              | 0.0301     |
| reward/                 |            |
|    r_energy             | -0.0258    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 23.4       |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 332        |
|    time_elapsed         | 29831      |
|    total_timesteps      | 1359872    |
| train/                  |            |
|    approx_kl            | 0.09797701 |
|    clip_fraction        | 0.476      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.0929     |
|    explained_variance   | 0.95       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0111    |
|    n_updates            | 3310       |
|    policy_gradient_loss | 0.0104     |
|    std                  | 0.309      |
|    value_loss           | 0.0324     |
----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.00908    |
|    E_fric_J             | 0.00709    |
